"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 00:16:21 GMT 2024","Mon Nov 25 00:16:34 GMT 2024","13035","Surefire suite","Surefire test","org.example.teamcity.ui.CreateBuildTypeTest","org.example.teamcity.ui.CreateBuildTypeTest","errorMessageWhenUserCreatesBuildTypeWithEmptyName","User should NOT be able to create a build type without name",""
"passed","Mon Nov 25 00:16:34 GMT 2024","Mon Nov 25 00:16:50 GMT 2024","15759","Surefire suite","Surefire test","org.example.teamcity.ui.CreateBuildTypeTest","org.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create a build type",""
"failed","Mon Nov 25 00:15:28 GMT 2024","Mon Nov 25 00:16:21 GMT 2024","52583","Surefire suite","Surefire test","org.example.teamcity.ui.CreateProjectTest","org.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create a project",""
"passed","Mon Nov 25 00:14:25 GMT 2024","Mon Nov 25 00:15:15 GMT 2024","50300","Surefire suite","Surefire test","org.example.teamcity.ui.SetupServerTest","org.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
