"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 24 22:45:02 GMT 2024","Sun Nov 24 22:45:02 GMT 2024","1","Surefire suite","Surefire test","org.example.teamcity.ui.CreateProjectTest","org.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should NOT be able to create a project without name",""
"passed","Sun Nov 24 22:44:05 GMT 2024","Sun Nov 24 22:45:02 GMT 2024","56667","Surefire suite","Surefire test","org.example.teamcity.ui.CreateProjectTest","org.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create a project",""
"passed","Sun Nov 24 22:42:49 GMT 2024","Sun Nov 24 22:43:51 GMT 2024","61701","Surefire suite","Surefire test","org.example.teamcity.ui.SetupServerTest","org.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Nov 24 22:45:31 GMT 2024","Sun Nov 24 22:45:46 GMT 2024","15309","Surefire suite","Surefire test","org.example.teamcity.ui.CreateBuildTypeTest","org.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create a build type",""
"broken","Sun Nov 24 22:45:02 GMT 2024","Sun Nov 24 22:45:17 GMT 2024","15325","Surefire suite","Surefire test","org.example.teamcity.ui.RunBuildTypeTest","org.example.teamcity.ui.RunBuildTypeTest","userRunsBuildType","User should be able to run build type",""
"passed","Sun Nov 24 22:45:18 GMT 2024","Sun Nov 24 22:45:30 GMT 2024","12381","Surefire suite","Surefire test","org.example.teamcity.ui.CreateBuildTypeTest","org.example.teamcity.ui.CreateBuildTypeTest","errorMessageWhenUserCreatesBuildTypeWithEmptyName","User should NOT be able to create a build type without name",""
