"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 24 05:44:01 GMT 2024","Sun Nov 24 05:44:16 GMT 2024","15033","Surefire suite","Surefire test","org.example.teamcity.ui.CreateBuildTypeTest","org.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create a build type",""
"passed","Sun Nov 24 05:43:32 GMT 2024","Sun Nov 24 05:43:32 GMT 2024","1","Surefire suite","Surefire test","org.example.teamcity.ui.CreateProjectTest","org.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should NOT be able to create a project without name",""
"passed","Sun Nov 24 05:41:33 GMT 2024","Sun Nov 24 05:42:26 GMT 2024","53683","Surefire suite","Surefire test","org.example.teamcity.ui.SetupServerTest","org.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"broken","Sun Nov 24 05:43:32 GMT 2024","Sun Nov 24 05:43:48 GMT 2024","16043","Surefire suite","Surefire test","org.example.teamcity.ui.RunBuildTypeTest","org.example.teamcity.ui.RunBuildTypeTest","userRunsBuildType","User should be able to run build type",""
"failed","Sun Nov 24 05:42:40 GMT 2024","Sun Nov 24 05:43:31 GMT 2024","51232","Surefire suite","Surefire test","org.example.teamcity.ui.CreateProjectTest","org.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create a project",""
"passed","Sun Nov 24 05:43:48 GMT 2024","Sun Nov 24 05:44:00 GMT 2024","12184","Surefire suite","Surefire test","org.example.teamcity.ui.CreateBuildTypeTest","org.example.teamcity.ui.CreateBuildTypeTest","errorMessageWhenUserCreatesBuildTypeWithEmptyName","User should NOT be able to create a build type without name",""
