"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Nov 24 01:37:27 GMT 2024","Sun Nov 24 01:37:27 GMT 2024","77","Surefire suite","Surefire test","org.example.teamcity.ui.CreateBuildTypeTest","org.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create a build type",""
"failed","Sun Nov 24 01:37:27 GMT 2024","Sun Nov 24 01:37:27 GMT 2024","123","Surefire suite","Surefire test","org.example.teamcity.ui.RunBuildTypeTest","org.example.teamcity.ui.RunBuildTypeTest","userRunsBuildType","User should be able to run build type",""
"failed","Sun Nov 24 01:37:27 GMT 2024","Sun Nov 24 01:37:27 GMT 2024","98","Surefire suite","Surefire test","org.example.teamcity.ui.CreateBuildTypeTest","org.example.teamcity.ui.CreateBuildTypeTest","errorMessageWhenUserCreatesBuildTypeWithEmptyName","User should NOT be able to create a build type without name",""
"passed","Sun Nov 24 01:37:27 GMT 2024","Sun Nov 24 01:37:27 GMT 2024","3","Surefire suite","Surefire test","org.example.teamcity.ui.CreateProjectTest","org.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should NOT be able to create a project without name",""
"passed","Sun Nov 24 01:36:16 GMT 2024","Sun Nov 24 01:37:10 GMT 2024","53784","Surefire suite","Surefire test","org.example.teamcity.ui.SetupServerTest","org.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Sun Nov 24 01:37:23 GMT 2024","Sun Nov 24 01:37:27 GMT 2024","3522","Surefire suite","Surefire test","org.example.teamcity.ui.CreateProjectTest","org.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create a project",""
