"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 01:44:56 GMT 2024","Mon Nov 25 01:45:51 GMT 2024","55321","Surefire suite","Surefire test","org.example.teamcity.ui.CreateProject","org.example.teamcity.ui.CreateProject","userCreatesProject","User should be able to create a project",""
"passed","Mon Nov 25 01:46:05 GMT 2024","Mon Nov 25 01:46:21 GMT 2024","16098","Surefire suite","Surefire test","org.example.teamcity.ui.CreateBuildTypeTest","org.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create a build type",""
"passed","Mon Nov 25 01:43:49 GMT 2024","Mon Nov 25 01:44:43 GMT 2024","53844","Surefire suite","Surefire test","org.example.teamcity.ui.SetupServerTest","org.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Mon Nov 25 01:45:52 GMT 2024","Mon Nov 25 01:46:04 GMT 2024","12496","Surefire suite","Surefire test","org.example.teamcity.ui.CreateBuildTypeTest","org.example.teamcity.ui.CreateBuildTypeTest","errorMessageWhenUserCreatesBuildTypeWithEmptyName","User should NOT be able to create a build type without name",""
