"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Nov 24 02:54:12 GMT 2024","Sun Nov 24 02:54:12 GMT 2024","84","Surefire suite","Surefire test","org.example.teamcity.ui.CreateBuildTypeTest","org.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create a build type",""
"passed","Sun Nov 24 02:54:12 GMT 2024","Sun Nov 24 02:54:12 GMT 2024","3","Surefire suite","Surefire test","org.example.teamcity.ui.CreateProjectTest","org.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should NOT be able to create a project without name",""
"failed","Sun Nov 24 02:54:08 GMT 2024","Sun Nov 24 02:54:12 GMT 2024","3578","Surefire suite","Surefire test","org.example.teamcity.ui.CreateProjectTest","org.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create a project",""
"failed","Sun Nov 24 02:54:12 GMT 2024","Sun Nov 24 02:54:12 GMT 2024","140","Surefire suite","Surefire test","org.example.teamcity.ui.RunBuildTypeTest","org.example.teamcity.ui.RunBuildTypeTest","userRunsBuildType","User should be able to run build type",""
"passed","Sun Nov 24 02:53:01 GMT 2024","Sun Nov 24 02:53:56 GMT 2024","55612","Surefire suite","Surefire test","org.example.teamcity.ui.SetupServerTest","org.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Sun Nov 24 02:54:12 GMT 2024","Sun Nov 24 02:54:12 GMT 2024","79","Surefire suite","Surefire test","org.example.teamcity.ui.CreateBuildTypeTest","org.example.teamcity.ui.CreateBuildTypeTest","errorMessageWhenUserCreatesBuildTypeWithEmptyName","User should NOT be able to create a build type without name",""
