"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 01:54:40 GMT 2024","Mon Nov 25 01:54:55 GMT 2024","15642","Surefire suite","Surefire test","org.example.teamcity.ui.CreateBuildTypeTest","org.example.teamcity.ui.CreateBuildTypeTest","errorMessageWhenUserCreatesBuildTypeWithEmptyName","User should NOT be able to create a build type without name",""
"passed","Mon Nov 25 01:52:34 GMT 2024","Mon Nov 25 01:53:28 GMT 2024","54318","Surefire suite","Surefire test","org.example.teamcity.ui.SetupServerTest","org.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Mon Nov 25 01:53:42 GMT 2024","Mon Nov 25 01:54:39 GMT 2024","57447","Surefire suite","Surefire test","org.example.teamcity.ui.CreateProject","org.example.teamcity.ui.CreateProject","userCreatesProject","User should be able to create a project",""
"passed","Mon Nov 25 01:54:56 GMT 2024","Mon Nov 25 01:55:13 GMT 2024","17690","Surefire suite","Surefire test","org.example.teamcity.ui.CreateBuildTypeTest","org.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create a build type",""
