"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Nov 24 01:17:37 GMT 2024","Sun Nov 24 01:17:37 GMT 2024","140","Surefire suite","Surefire test","org.example.teamcity.ui.RunBuildTypeTest","org.example.teamcity.ui.RunBuildTypeTest","userRunsBuildType","User should be able to run build type",""
"failed","Sun Nov 24 01:17:37 GMT 2024","Sun Nov 24 01:17:37 GMT 2024","86","Surefire suite","Surefire test","org.example.teamcity.ui.CreateBuildTypeTest","org.example.teamcity.ui.CreateBuildTypeTest","errorMessageWhenUserCreatesBuildTypeWithEmptyName","User should NOT be able to create a build type without name",""
"passed","Sun Nov 24 01:17:37 GMT 2024","Sun Nov 24 01:17:37 GMT 2024","3","Surefire suite","Surefire test","org.example.teamcity.ui.CreateProjectTest","org.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should NOT be able to create a project without name",""
"passed","Sun Nov 24 01:16:29 GMT 2024","Sun Nov 24 01:17:20 GMT 2024","50950","Surefire suite","Surefire test","org.example.teamcity.ui.SetupServerTest","org.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Sun Nov 24 01:17:33 GMT 2024","Sun Nov 24 01:17:37 GMT 2024","3668","Surefire suite","Surefire test","org.example.teamcity.ui.CreateProjectTest","org.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create a project",""
"failed","Sun Nov 24 01:17:37 GMT 2024","Sun Nov 24 01:17:37 GMT 2024","79","Surefire suite","Surefire test","org.example.teamcity.ui.CreateBuildTypeTest","org.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create a build type",""
