"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Nov 24 03:21:46 GMT 2024","Sun Nov 24 03:22:01 GMT 2024","14994","Surefire suite","Surefire test","org.example.teamcity.ui.RunBuildTypeTest","org.example.teamcity.ui.RunBuildTypeTest","userRunsBuildType","User should be able to run build type",""
"passed","Sun Nov 24 03:21:46 GMT 2024","Sun Nov 24 03:21:46 GMT 2024","5","Surefire suite","Surefire test","org.example.teamcity.ui.CreateProjectTest","org.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should NOT be able to create a project without name",""
"passed","Sun Nov 24 03:22:13 GMT 2024","Sun Nov 24 03:22:26 GMT 2024","12602","Surefire suite","Surefire test","org.example.teamcity.ui.CreateBuildTypeTest","org.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create a build type",""
"passed","Sun Nov 24 03:22:02 GMT 2024","Sun Nov 24 03:22:13 GMT 2024","11183","Surefire suite","Surefire test","org.example.teamcity.ui.CreateBuildTypeTest","org.example.teamcity.ui.CreateBuildTypeTest","errorMessageWhenUserCreatesBuildTypeWithEmptyName","User should NOT be able to create a build type without name",""
"passed","Sun Nov 24 03:19:50 GMT 2024","Sun Nov 24 03:20:40 GMT 2024","49971","Surefire suite","Surefire test","org.example.teamcity.ui.SetupServerTest","org.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Sun Nov 24 03:20:52 GMT 2024","Sun Nov 24 03:21:46 GMT 2024","53695","Surefire suite","Surefire test","org.example.teamcity.ui.CreateProjectTest","org.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create a project",""
