"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Nov 24 00:34:13 GMT 2024","Sun Nov 24 00:34:13 GMT 2024","142","Surefire suite","Surefire test","org.example.teamcity.ui.RunBuildTypeTest","org.example.teamcity.ui.RunBuildTypeTest","userRunsBuildType","User should be able to run build type",""
"passed","Sun Nov 24 00:33:06 GMT 2024","Sun Nov 24 00:33:56 GMT 2024","50338","Surefire suite","Surefire test","org.example.teamcity.ui.SetupServerTest","org.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Sun Nov 24 00:34:13 GMT 2024","Sun Nov 24 00:34:13 GMT 2024","132","Surefire suite","Surefire test","org.example.teamcity.ui.CreateBuildTypeTest","org.example.teamcity.ui.CreateBuildTypeTest","errorMessageWhenUserCreatesBuildTypeWithEmptyName","User should NOT be able to create a build type without name",""
"passed","Sun Nov 24 00:34:13 GMT 2024","Sun Nov 24 00:34:13 GMT 2024","3","Surefire suite","Surefire test","org.example.teamcity.ui.CreateProjectTest","org.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should NOT be able to create a project without name",""
"failed","Sun Nov 24 00:34:13 GMT 2024","Sun Nov 24 00:34:13 GMT 2024","86","Surefire suite","Surefire test","org.example.teamcity.ui.CreateBuildTypeTest","org.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create a build type",""
"failed","Sun Nov 24 00:34:09 GMT 2024","Sun Nov 24 00:34:13 GMT 2024","3763","Surefire suite","Surefire test","org.example.teamcity.ui.CreateProjectTest","org.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create a project",""
